Restaurant_Name,Detail_address,Latitude,Longitude,review_count,stars
The K Factory,"Ground Floor, IQS Tower, Opposite Kapil Malhar Building, Baner, Pune",18.5588091,73.7921011,3710,4
Turque - Sayaji Hotel,"Sayaji Hotel, Survey 135/136, Mumbai-Bangalore Bypass Highway, Wakad, Pune",18.5997221,73.7548675,1188,5
Rangla Punjab,"Near Kumar Papillon, Bangalore Mumbai Highway, Off Sus Pashan Road, Pashan, Pune",18.5421898,73.7781649,1702,4
Frozen Monkey,"Level 1, Xion Mall, Near E Square Multiplex, Hinjawadi, Pune",18.592715,73.745263,2773,5
Karolbaug The Dhaba,"Begore Quadron IT Park, Near MIDC Power House, Hinjawadi, Pune",18.5866324,73.697225,1156,4
The Tasty Tiffin,"Shop 15, Shroff Suyash, Baner, Pune",18.5617398,73.7835917,176,4
Pink Turbann,"20, Tejaswini 1, Lane opposite DTDC, Fit n Fair Salon, Near Medipoint Hospital, Aundh, Pune",18.5640772,73.8022045,618,4
Falahaar,"Shop 3 & 4, Laxman Park, Opposite Hotel Green Park, Baner, Pune",18.5509033,73.8040771,1772,4
Lager Street - Lounge and Bar,"Shop 1, Ground Floor, Elite Primio, Dasara Chowk, Balewadi, Pune",18.5738752,73.7767017,168,4
Citrus Cafe - Lemon Tree Hotel,"Lemon Tree Hotel, P4, Rajiv Gandhi Infotech Park, Phase I, Hinjawadi, Pune",18.585567,73.734221,1086,4
Over The Top - Radisson Blu,"Radisson Blu, Phase 1, Hinjawadi, Pune",18.583871,73.7397194,843,5
Fish On Dish,"Fab Choupati, Utkarsh Chowk, Shankar Kalat Nagar, Wakad, Pune",18.5949726,73.7641393,113,4
Flute,"Survey 174/1, Postal Colony, Opposite Omega Soham Icon, Datta Mandir Road, DP Road, Wakad, Pune",18.6010482,73.7637314,224,4
UFO Fries & Corn,"239/1E, Casapoli, Shop 1, 2, Kaspate Wasti, Wakad, Pune",18.593376,73.7657221,200,4
Upsouth,"Ward 8, Opposite Corporation Bank, Mahadji Shinde Road, Aundh Gaon, Aundh, Pune",18.5627755,73.8076339,1770,4
Mealstory,"CG 4, Wisteria Fortune, Near CNG Pump, Bhumkar Chowk, Wakad",18.603456,73.745294,309,4
TiffinGeek,"192/1/15; Near Datta Mandir, New Datta Nagar, Wakad, Pune",18.5962067,73.7639106,510,4
Maratha Samrat,"MontVert Zenith Building, Opposite Kundan Garden, Beside Veritas IT Park, Baner, Pune",18.5556761,73.7954194,1044,4
Swig,"Shop 4, Survey 20/21, Ground Floor, Balewadi, Baner, Pune",18.5700221,73.7811009,180,4
Levit 8,"8th Floor, Above Croma Electronics, Aundh, Pune",18.5601649,73.8031335,153,4
Mojo Pizza- 2X Toppings,"Shop 33, Near HDFC Bank, Blue Ridge, Rajiv Gandhi IT Park Hinjewadi Phase 1, Hinjawadi, Pune",18.581524,73.7380287,88,5
Ya Basa-The Dhaba,"124, S 124/1, Mhalunge, Baner, Pune",18.563812,73.7687448,57,4
MoMo Cafe - Courtyard By Marriott Pune Hinjawadi,"Courtyard By Marriott, P4 Rajiv Gandhi Infotech Park, Phase 1, Hinjawadi, Pune",18.5915911,73.7468775,791,4
WYNKK,"Laxman Park, Baner Road, Baner, Pune",18.5526172,73.8039667,81,4
"Incognito - Restaurant, Bar & Cafe","Balewadi High Street, Panchshil Business Park, Baner Balewadi Link Road, Baner, Pune",18.5715688,73.7739279,2107,4
Jashn E Punjab,"Shop 16, Shroff Suyash, Baner, Pune",18.5617398,73.7835917,183,4
Malgudi Station,"Survey 118/4, Baner Mahalunge Road, Baner, Pune",18.5594962,73.7896962,297,4
Raasta Cafe,"135, Balewadi Phata, Beside Kalmakar TVS Showroom, Baner, Pune",18.5537078,73.8025709,1856,4
Fresh Bake,"Shop 2, Shiivtej Nagar, Hinjawadi, Pune",18.5940698,73.7371458,109,4
The Cloud Kitchen,"Survey 1/A/13, Behind Kamlesh Jewellers, Baner, Pune",18.5584004,73.7919421,0,0
Chinese Factory,"Survey 47/2A, Swami Samarth Colony, Kalewadi, Wakad, Pune",18.6067896,73.7814926,172,4
Area 51,"Pancard Clubs, Baner Hills, Baner, Pune",18.5576723,73.7875626,719,4
KFC,"Shop 21/2, Ground Floor, Beside Fortune Inn Hotel, Wakad Road, Taluka Mulshi, Hinjawadi, Pune",18.5910727,73.7481727,218,4
Taaareef,"1, Shyamal Apartments, Near Ozone, ITI Road, Aundh, Pune",18.556002,73.808932,1980,4
Shrinidhi's Hyderabadi Spice,"Shop 4-5, Sagar Apartment, Parihar Chowk, Aundh, Pune",18.5604409,73.8093452,152,4
Bird Valley,"Survey 241/1A, Datta Mandir Road, Wakad, Pune",18.6018976,73.7621913,524,4
Late Lateef,"New Om Apartment Building, Darshan Park, Aundh, Pune",18.5644798,73.8120159,549,4
Piccadilly Cafe,"Survey 22/3, Ground Floor, Balewadi High Street, Near Cummins India Office, Baner, Pune",18.5703846,73.7714835,67,4
Playboy Beer Garden,"26/27, Balewadi High Street, Balewadi-Baner Link Road, Baner, Pune",18.5704091,73.7739202,1707,4
Origin Bistro,"Shop 2 A, The Capital, Baner-Pashan Link Road, Pashan, Pune",18.5516373,73.7930954,793,4
Tea Trails Cafe,"Shop 2, Ground Floor, Westend Mall, Near Parihar Chowk, Aundh, Pune",18.561618,73.806919,702,4
L'Apicio,"Shop D 8 & 9, Sai Heritage Society, Near Medipoint Hospital, New DP Road, Aundh, Pune",18.5653064,73.801146,824,4
Bantoos,"Ground Floor, Deron Hills, Opposite Bata Showroom, Baner Road, Baner, Pune",18.5549734,73.7972362,72,4
Ostro Multi Cuisine Restaurant,"SR 359/360, Rajiv Gandhi Infotech Park, Opposite Wipro Company, Phase 2, Hinjewadi, Pune",18.5972124,73.7187593,157,4
Paratha King,"Fountain Market, Near Megapolis Circle, Phase 3, Hinjawadi, Pune",18.5778828,73.6900636,140,4
Gourmet Union - World Cuisine and Bar,"Survey 22/3, Hissa 3/22, 25, 26, Near Cummins India Campus, Baner, Pune",18.570534,73.7718911,78,4
Cafe Hours Food & Bookstore Cafe,"Shop 1 & 2, Arambh Building, Beside Datta Mandir, Wakad, Pune",18.5959923,73.7635433,119,4
Farmaaish,"Kundan Garden, Next To Big Bazaar, Baner, Pune",18.5554999,73.7950409,671,4
The IT City Bar-B-Q,"Survey 257/1/1A, Phase 2 Road, Near Raj Laxmi Petrol Pump, Hinjawadi, Pune",18.5949105,73.7288383,0,0
Kadar Khan's Sheesha,"Baner Mahalunge Road, Baner Gaon, Baner, Pune",18.5608969,73.7878287,19,4
7th Heaven,"Shop 6, Pride Valencia, Pan Card Club Road, Baner, Pune",18.5593923,73.7810789,418,4
Hotel Vijay- The Taste Of Tamil Nadu,"Shop 1 & 2, Shivaji Chowk, Khanekar Complex, Near Allahabad Bank, Hinjawadi Village, Hinjawadi, Pune",18.5909627,73.7386575,409,4
Ratri Yatri,"Near Irene Tower, Aundh, Pune",18.5634153,73.7967143,209,4
Bhairavee Pure Veg Restaurant,"Survey 263/2/1, Varsha Park, Baner, Pune",18.5532282,73.7983903,921,4
La Pizzeria,"Shop F/B21, Ground Floor, Balewadi High Street Complex, Baner, Pune",18.5703887,73.7741378,580,4
KSL Exprs,"Survry 227/1, Aluma County Road, Near S.T.P. Planet, Aundh, Pune",18.5601649,73.8031335,97,4
KGN Xprs,"Shop 1, Mauli Chowk, Datta Mandir Road, Wakad, Pune",18.5976416,73.7635938,363,4
Mr Rabbit's Bar & Burrow,"Shop 1, Siddh Icon, Opposite Royal Enfield Showroom, Baner, Pune",18.5586029,73.7922478,621,4
KSL Biryani House,"Survey 227/1, Aluma County Road, Near S.T.P. Planet, Aundh, Pune",18.5601649,73.8031335,46,4
Post 91 - Infinity Rooftop Restaurant,"Level 9, Icon Tower, Baner, Pune",18.5653181,73.7741237,1465,4
Deewan Khana,"S2/S3, Elite Primio, 1st Floor, Dasra Chowk, Balewadi Mitcon Road, Near Balewadi Highstreet, Balewadi, Pune",18.5738752,73.7767017,262,4
A Taste Of Indore,"Utkarsh Chowk, Datta Mandir Road, Opposite Ozone Spring, Wakad, Pune",18.594352,73.7637312,103,4
D'nozzo Chinese Food Hub,"Shop 5, Building B, Kunal Aspiree, Balewadi, Pune",18.5791452,73.7760266,66,4
Zura Sizzler Kitchen,"3rd & 4th Floor, Survey 22, Modi Square Building, Opposite Cars 24 Office, Balewadi, Pune",18.5688269,73.7717099,0,0
Five Fat Monks,"Shop 1, Building D, Grandeur, Balewadi Road, Opposite Balewadi High Street Park, Baner, Pune",18.5711349,73.7753341,614,4
Naayab,"Near Irene Tower, Aundh, Pune",18.5634153,73.7967143,289,4
Sai Kok-pa Chinese,"Near Veritas Infotech, Baner Road, Baner, Pune",18.554449,73.7972253,231,4
Sarjaa,"127/2, Sanewadi, Near Goodwill Society, ITI Road, Aundh, Pune",18.5532421,73.8093988,287,4
Kafe Fusion,"Survey 5/1A/A, Shop 1, Wing A, The Capital Baner, Pashan Link Road, Baner, Pune",18.552274,73.793862,38,4
Kathputli - The Drunken Puppet,"Balewadi Stadium Road, Laxman Nagar, Baner, Pune",18.5726383,73.7709538,0,0
Buon Cibo- The Italian Cafe,"Shop 01, Survey 62/1/4, Axis Centra, Baner, Pune",18.5572649,73.7708388,0,0
Reddy's Biryani Zone,"Phase 1, Opposite Kpit, Near Hinjewadi Hospital, Marunji Road, Hinjawadi, Pune",18.5758079,73.7404306,389,4
Wada Culture,"119/20, Baner-Balewadi Road, Near Balewadi High Street, Baner, Pune",18.569556,73.7748258,118,4
Nirvighnam,"6, 1st Floor, Samarth Residency, Near Laxmi Mata Mandir, Balewadi, Pune",18.5728937,73.78069,81,4
The Havelii,"302, Vasukamal Building, Ganraj Chowk, Baner, Pune",18.5625954,73.7775,56,5
Shaam-E-Awadh,"New Om Apartment Building, Darshan Park, Aundh, Pune",18.5644798,73.8120159,254,4
Chizzlers,"Shop 7, Echelon Phase 1, Baner- Pashan Link Road, Baner, Pune",18.5516058,73.7927453,60,4
Savera Meals,"Survey 77-1-1, Shop 8, Primerose The Mall, Baner, Pune",18.5608881,73.7874753,102,4
KarolBaug- Dawat-e-Mehfil,"Sr 240/1, Sai Heritage, Beside Medipoint Hospital, Aundh, Pune",18.5649352,73.8022532,116,4
Genuine Broaster Chicken,"Survey 5/19, Shop 10, Park Grandeur, Opposite Cummins IOC, Baner - Balewadi Link Road, Near Bharati Vidyapeet School, Baner, Pune",18.5713127,73.7750783,652,4
Raqabdaars,"Near Irene Tower, Aundh, Pune",18.5634153,73.7967143,638,4
FatCook,"Opposite Aditya Shagun Society, Baner-Balewadi Road, Baner, Pune",18.5703611,73.7840137,758,4
Flying Duck Co.,"Shop 12-13, Park Grandeur, D Building, Balewadi High Street, Baner, Pune",18.5711349,73.7753341,1599,5
The Blue Plate,"Shop 3E, Chaitraban Society, Opposite Croma, Aundh, Pune",18.5534365,73.8072773,810,5
Andaground,"Shop A1, Sai Heritage, Near Medipoint Hospital, Baner, Pune",18.5652919,73.8005993,724,5
The Flour Works,"Plot 5, Baner-Mahalunge Road, Behind ICICI Bank, Baner, Pune",18.5659534,73.7736509,446,4
The Saucy Side,"Shop 03, D Wing, Casapoli, Shaikh Chowk, Kaspate Wasti Road, Wakad, Pune",18.593376,73.7657221,35,4
Ambrosios,"Shop 17 & 18, Fountain Market, Phase 3, Near Megapolis Circle, Hinjawadi, Pune, Pune",18.5778828,73.6900636,214,4
The Curious Restro Lounge,"Survey 44/2/1, Vishwaguru Showroom 1, Highway Near Audi Showroom, Service Road, Baner, Pune",18.5493579,73.7723463,206,4
Zayka,"Bana Javal, Sai Heritage Chya Samor, Aundh, Balewadi, Pune",18.5652436,73.8009638,0,0
Charcoal Eats,"Shop 12, Omega Paradise, Phase 2, Building L, PCMC Ward 15, Wakad, Pune",18.6017989,73.7597509,137,4
The Good Bowl,"Near Baner Nagri Bank, Baner, Pune",18.5599316,73.789541,90,4
Manali-Family Resto Bar,"Survey 22/3, Lane Next to Syngneta It Park, Behind Cummins, Baner, Pune",18.5698154,73.7712859,643,4
Brain Freeze Ice Cream & Desserts,"Shop 2, 3, 4, Shriram Bhavan, Balewadi Phata, Baner Road, Baner, Pune",18.5638445,73.7825481,205,4
Orion,"1st Floor, Aspirations, Next To Serenade Building, Baner Road, Baner, Pune",18.5574799,73.792175,1433,4
Akhtarâ€™s Samosa,"Shop 1, Yashashree Apartments, Near Gaikwad Petrol Pump, Aundh, Pune",18.5575861,73.8050614,93,4
Flavours of Hyderabad,"4, 80/1, Vishal Niwas, Balewadi Phata, Baner, Pune",18.5645048,73.7838215,754,4
Reddy's Alpha Biryani Point,"Shri Vitthal Jambhulkar Complex, Hinjawadi, Pune",18.5920558,73.73805,817,4
Shortcuts - Quick Meals On The Go,"Shop 11, 12&13, 220/5/3, Opposite PDCC, Hinjawadi, Pune",18.5912716,73.738909,28,4
DÃ©jÃ Vu Bistro,"Survey 116/2, Sakhare Wasti Road, Phase 1, Near Blue Ridge Society, Hinjawadi, Pune",18.5773558,73.7440395,594,4
Masti Misal,"Shop 1, Lakshmi Plaza Apartment, Baner Road, Baner, Pune",18.5618434,73.7857978,40,4
MasalaBar,"Unit 13 & 14, Cummins India Campus, Balewadi High Street, Baner, Pune",18.569816,73.774417,1243,4
Waffle Bites,"Shop 1, Wing D, Chaitraban Society, Opp Croma Showroom, Seasons Road, Aundh, Pune",18.5534365,73.8072773,213,5
EDGE Bar & Lounge,"Survey 263, Hissa 2, Hinjawadi - Marunji Road, Near Laxmi Chowk, Hinjawadi, Pune",18.597521,73.7345035,61,4
The Jalebi Point,"Shop 3, Guru Krupa Niwas, Opposite Tudip Technology, Datta Mandir Road, Wakad, Pune",18.5935025,73.7635324,28,4
Desi Aroma,"Shop 10/11, Aditi Mall, Baner Road, Baner, Pune",18.5538949,73.8018916,1848,4
Chick N Serve,"Hp Maan Hospital, Near Shiva Parvathi Lawn, Maan Road, Hinjawadi, Pune",18.5780366,73.7145407,29,4
eSSSetrra,"Shop 1, Laxmi Plaza Apartment, Baner Road, Baner, Pune",18.5588903,73.7763867,0,0
Cream Stone,"Shop 4-6, Ground Floor, Bhagyashree Building, Opposite Ivory Estate, Baner Road, Baner, Pune",18.5534738,73.8026705,1434,4
Chapter Seven Skybar & Kitchen,"Top Floor, Sanskriti Arcade, Kaspate Wasti, Near Chhatrapati Chauk, Wakad, Pune",18.5949676,73.7739232,338,4
Reddy's Restaurant,"Opposite MMI International School, Balewadi, Pune",18.5707676,73.77166,42,4
Oye Kiddan,"Yashoda Niwas, Eve's Garden Lane, Opposite Saraswat Bank, Baner, Pune",18.5552942,73.7961628,398,4
Khasbag Misal,"Survey-134/5-6, Mhetre Corner, Balewadi Phata, Opposite Ganesh Mandir, Baner, Pune",18.5644832,73.7826557,310,4
Global Punjab,"Shop 1-3, Riddhi Siddhi Heights, Mhatoba Chowk, Shankar Kalat Nagar, Wakad, Pune",18.5953757,73.7676978,762,4
Billy's BrewStirs,"Survey 129 &130, Plot 90, Aundh Centriole, Anand Park, Aundh, Pune",18.5566858,73.8087644,29,4
The Quick Wok,"Shop 1, Regent Plaza, Baner Pashan Link Road, Baner, Pune",18.5523,73.793143,813,4
Paratha King,"Beside Mont Vert Seville, Main Datta Mandir Road, Wakad, Pune",18.6025552,73.7673335,476,4
Cafe Roberto,"Bhagyashree Building, Baner, Pune",18.5534738,73.8026705,209,4
Bhairavi,"Ground Floor, Supriya Complex, Kaspate Vasti, Opposite Kalpataru Harmony Society, Wakad, Pune",18.591878,73.7713037,87,4
Kimling,"161/162, Nagras Road, Opposite Tangent Furniture Showroom, Aundh, Pune",18.5655196,73.8042573,1249,4
We Idliwale,"Shop 2, Ground Floor, Baner BizBay, Laxman Nagar, Baner, Pune",18.5668443,73.7714539,52,4
B Dazzld,"Shop 301-305, 3rd Floor, Address Commercia Mall, Near Hinjawadi Flyover, Wakad, Pune",18.5920855,73.7579679,185,4
MomNom,"Shop 2, Basant Bahar Commercial Building, Village Pashan, Baner, Pune",18.5509795,73.7907855,69,4
Way Down South Restaurant,"Sai Krupa Apartments, Baner Road, Baner, Pune",18.5691085,73.7803877,975,4
Tamil Nadu Restaurant,"Shop 18, Jayaram market, behind Persistent Company, Jayram Nagar, Hinjawadi, Pune",18.5875731,73.7386675,45,4
Rahul Restaurant & Bar,"Westend River View Apartments, Paranjape Scheme, Sangvi Kesri Road, Aundh, Pune",18.565991,73.8069322,778,4
Hari Om Juice Bar,"Next to Sai Datta Residency, Baner Road, Baner, Pune",18.562104,73.786717,86,4
Bebe Di Rasoi,"Survey 249/2/1,Ward 88, Aundh- Wakad Road, Wakad, Pune",18.5885051,73.7811902,152,4
Mughal's Zaika,"Shop 4, Baner Pashan Link Road, Echelon Society, Opposite Regent Plaza, Pashan, Pune",18.5516058,73.7927453,87,4
Merazo,"New DP Road Chowk, Vishal Nagar, Pimple Nilak, Wakad, Pune",18.5833082,73.7823338,751,4
B Box,"Shop 1/B, Opposite Primary School, Washing Centre, Near Deewankhana Dasara Chowk, Balewadi, Pune",18.5738752,73.7767017,70,4
Central Cafe - Shawarma and Burgers,"Seriol 139, Sakhre Hulawale Wasti, Hinjewadi, Pune",18.5845653,73.7438781,61,4
Slounge - Lemon Tree Hotel,"Lemon Tree Hotel, P4, Rajiv Gandhi Infotech Park, Phase 1, Hinjawadi, Pune",18.585567,73.734221,159,4
Kaka Halwai,"Shop 157, Abja Pavilion, Opposite Union Bank Of India, DP Road, Aundh, Pune",18.560536,73.806383,200,4
Flavours Street,"261/1/1, House 1740/2, Opposite Green Park Hotel, Baner, Pune",18.5518862,73.8040727,67,4
Fabcafe,"Survey 110, Hissa 11/2, Avenue Imperia, Baner, Pune",18.5659335,73.7722385,59,4
Terttulia Bistro,"Shop 2, Balewadi High Street, Panchshil Business Park, Balewadi-Baner Link Road, Baner, Pune",18.569556,73.7748258,866,4
Vintage 7,"Gitanjali Apartment, New DP Road, Aundh, Pune",18.563365,73.802541,425,4
ALLEPPEESÂ® Kerala Restaurant,"Shop 1 & 2, Sadguru Plaza, Laxmi Chowk, Phase 1, Hinjewadi, Pune",18.6000196,73.7366479,110,4
Amritsari,"Shop 10/11, Riddhi Siddhi Heights, Mahatoba Chowk, Kaspate Vasti, Wakad, Pune",18.5953757,73.7676978,117,4
Green Ways,"S. 173, Kalamkar Vasti, Mauli Chowk, Wakad, Pune",18.5980453,73.7635022,271,4
The Greedy Man Pizzeria & Bar,"Shop 8/9, Capital 1 Building, Baner-Pashan Link Road, Baner, Pune",18.5523998,73.7938816,575,4
Shiv Paratha With Maya,"Opposite Pristine Prolife 2 Front Gate, Wakad, Pune",18.5974215,73.7593843,65,4
Polka Dots,"Ground Floor, Westend Mall, Aundh, Pune",18.561618,73.806919,2285,4
Ramdev Dhaba Pure Veg Family Restaurants,"Shop P-1, 207/3, Ward 25, Dhanraj Park, Kaspate Wasti, Wakad, Pune",18.599507,73.775205,31,3
Skewers Kebab CafÃ©,"Plot 1, 147/1, Maan Goan, Phase 3, Hinjawadi, Pune",18.5786926,73.6842168,80,4
Swad Gomantak,"Shop 13 A, Echoin Greens Commercial Complex, Near Eden Garden Society, Wakad, Pune",18.5949064,73.7600151,172,4
Talli Twist,"Shop 318,319,320, The Address Commercial, Shankar Kalat Nagar, Near Sayaji Hotel, Wakad, Pune",18.5997221,73.7548675,292,4
Rice Wise,"964/2, Opposite Prabhadevee Tech Park, Near Indira Kids School, Mhalunge Road, Baner, Pune",18.5620626,73.77918,20,3
Tiffina,"Shop 7, Vedanta Society, Near Wakad Chowk, Wakad, Pune",18.5938546,73.7609347,50,4
Amrita Pure Veg,"123/3, Prabhavi Tech Park, Baner, Pune",18.5660985,73.917933,701,4
Punjabi Amritsari Kulcha,"PCMC Ward 26, Datta Mandir Road, Haveli, Wakad, Pune",18.5964229,73.7817568,15,3
Wada By Hotel Gavran Tadka,"Mumbai Bangalore Highway, Near Kumar Papilon Society, Sutarwadi, Pashan, Pune",18.5482886,73.7735018,67,4
Mexican Maven,"Shreenath Corner, Behind Persistent Company, Jayram Nagar, Hinjawadi, Pune",18.5886331,73.7387022,24,4
Odisha Hotel,"Shop C-1 & 2, Adora CHS, Near Laxmi Chowk, Hinjewadi-Wakad Road, Wakad, Pune",18.6006157,73.7391923,350,4
Caribbean Cafe,"Radhai Apartment 3, Mouli Chowk, Wakad Road, Wakad, Pune",18.6045059,73.764664,49,4
The Lands End Cafe,"Nandavan Colony, Dange Chowk, PCMC Ward 25, Wakad Road, Pune",18.602671,73.7489872,40,4
Wafflin' Around,"Shop 4, Chaitraban Society, ITI Road, Opposite Croma, Aundh, Pune",18.5534365,73.8072773,594,4
De Baillio,"Shop 02, Yogi Apartment, Beside Jupiter Hospital, Baner, Pune",18.565431,73.7859436,14,3
Dakkhan Spice,"Aundh Hinjawadi Road, Near Wakad Signal Chowk, Wakad, Pune",18.5922364,73.7649964,448,4
Via Indore,"Shop 16, Pristine Square, Shankar Kalat Nagar, Wakad, Pune",18.5981232,73.7585089,93,4
Ignite - Courtyard By Marriott Pune Hinjawadi,"Courtyard By Marriott, Rajiv Gandhi Infotech Park, Phase 1, Hinjawadi, Pune",18.5915911,73.7468775,457,4
Eatsome,"Opposite Savta Mali Temple, Next to Aditi Samruddhi, Baner Main Road, Baner, Pune",18.561035,73.787252,392,3
The Long Bar,"6th Floor, David Lloyd Clubs Talwalkars, Shankar Kalat Nagar, Wakad, Pune",18.5996734,73.7580962,28,4
