0,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4.9,7029  votes,18.59406345,73.74204911
1,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4.3,430  votes,18.59406345,73.74204911
2,Wakad,", Pune, India","Wakad, Pune, India",4.6,4731  votes,18.6109018,73.7637965
3,Wakad,", Pune, India","Wakad, Pune, India",4.5,2999  votes,18.6109018,73.7637965
4,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4,1437  votes,18.59406345,73.74204911
5,Wakad,", Pune, India","Wakad, Pune, India",4.4,3435  votes,18.6109018,73.7637965
6,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4.4,3006  votes,18.59406345,73.74204911
7,Baner,", Pune, India","Baner, Pune, India",4.4,382 votes,18.5642431,73.7768573
8,Wakad,", Pune, India","Wakad, Pune, India",4.7,1334  votes,18.6109018,73.7637965
9,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4,1983  votes,18.59406345,73.74204911
10,Sus,", Pune, India","Sus, Pune, India",4.4,2871  votes,18.5541586,73.753904
11,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4.3,3281  votes,18.59406345,73.74204911
12,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4,1941  votes,18.59406345,73.74204911
13,Baner,", Pune, India","Baner, Pune, India",4.5,3847  votes,18.5642431,73.7768573
14,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4.5,3189  votes,18.59406345,73.74204911
15,Baner,", Pune, India","Baner, Pune, India",4.1,910  votes,18.5642431,73.7768573
16,Baner,", Pune, India","Baner, Pune, India",4.8,3758  votes,18.5642431,73.7768573
17,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4.1,230 votes,18.59406345,73.74204911
18,Wakad,", Pune, India","Wakad, Pune, India",4.3,2930  votes,18.6109018,73.7637965
19,Baner,", Pune, India","Baner, Pune, India",4.3,2642  votes,18.5642431,73.7768573
20,Baner,", Pune, India","Baner, Pune, India",4.3,1135  votes,18.5642431,73.7768573
21,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4.3,866  votes,18.59406345,73.74204911
22,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4,1971  votes,18.59406345,73.74204911
23,Wakad,", Pune, India","Wakad, Pune, India",4.4,134  votes,18.6109018,73.7637965
24,Wakad,", Pune, India","Wakad, Pune, India",4.2,362 votes,18.6109018,73.7637965
25,Baner,", Pune, India","Baner, Pune, India",4.4,2931  votes,18.5642431,73.7768573
26,Baner,", Pune, India","Baner, Pune, India",4,938  votes,18.5642431,73.7768573
27,Baner,", Pune, India","Baner, Pune, India",4.7,1647  votes,18.5642431,73.7768573
28,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",3.9,1303  votes,18.59406345,73.74204911
29,Baner,", Pune, India","Baner, Pune, India",4.1,773  votes,18.5642431,73.7768573
30,Wakad,", Pune, India","Wakad, Pune, India",4.2,275  votes,18.6109018,73.7637965
31,Baner,", Pune, India","Baner, Pune, India",4.5,2857  votes,18.5642431,73.7768573
32,Aundh,", Pune, India","Aundh, Pune, India",3.7,589  votes,18.5618834,73.8101957
33,Baner,", Pune, India","Baner, Pune, India",3.6,277  votes,18.5642431,73.7768573
34,Hinjawadi,", Pune, India","Hinjawadi, Pune, India",4.6,890  votes,18.59406345,73.74204911
35,Baner,", Pune, India","Baner, Pune, India",4,1289  votes,18.5642431,73.7768573
36,Aundh,", Pune, India","Aundh, Pune, India",4.4,516  votes,18.5618834,73.8101957
37,Baner,", Pune, India","Baner, Pune, India",4,294 votes,18.5642431,73.7768573
38,Aundh,", Pune, India","Aundh, Pune, India",4.1,1948  votes,18.5618834,73.8101957
